HYBAS_ID_08,NEXT_DOWN,PFAF_ID,PFAF_ID_07,SUB_AREA,ele_mt_sav,DIST_SINK
3080638970,3080635830,31248762,3124876,635.5,271,3741.1
3080642740,3080639090,31248765,3124876,511.0,355,3762.5
3080642750,3080639090,31248764,3124876,296.0,496,3762.5
3080645110,3080642740,31248766,3124876,259.2,531,3794.0
3080645190,3080642740,31248767,3124876,1070.3,708,3794.1
3080651490,3080645190,31248769,3124876,2152.0,1245,3848.5
3080651320,3080645190,31248768,3124876,271.3,824,3848.6
3080657170,3080656290,31248691,3124869,1703.3,654,3910.3
3080548960,3080550510,31249971,3124997,404.2,308,3967.6
3080658590,3080657170,31248692,3124869,887.8,861,3974.6
3080658690,3080657170,31248693,3124869,1281.3,1083,3974.8
3080646880,3080638990,31248851,3124885,97.6,546,4001.4
3080549250,3080548960,31249972,3124997,552.6,318,4006.6
3080549340,3080548960,31249973,3124997,3659.6,389,4006.8
3080648450,3080646880,31248853,3124885,1541.3,986,4013.7
3080648550,3080646880,31248852,3124885,1184.3,1204,4013.7
3080664000,3080658690,31248695,3124869,704.7,1404,4028.1
3080664070,3080658690,31248694,3124869,618.4,1560,4028.3
3080665180,3080664000,31248697,3124869,1180.6,1388,4053.1
3080665260,3080664000,31248696,3124869,1084.9,1670,4053.1
3080654440,3080648450,31248854,3124885,480.0,1537,4077.3
3080654580,3080648450,31248855,3124885,5.9,620,4077.5
3080655110,3080654580,31248857,3124885,201.2,1373,4080.3
3080655100,3080654580,31248856,3124885,477.7,1594,4080.3
3080656800,3080655110,31248858,3124885,595.1,1628,4091.4
3080656910,3080655110,31248859,3124885,416.6,1493,4091.5
3080667120,3080665180,31248699,3124869,431.4,1586,4101.4
3080666910,3080665180,31248698,3124869,792.9,1328,4101.4
3080568950,3080549340,31249975,3124997,1977.1,403,4146.0
3080568840,3080549340,31249974,3124997,531.4,406,4146.1
3080573900,3080568950,31249976,3124997,449.5,446,4228.7
3080574150,3080568950,31249977,3124997,62.4,386,4228.8
3080574770,3080574150,31249979,3124997,768.5,464,4237.0
3080574860,3080574150,31249978,3124997,469.0,470,4237.1
3080723840,3080722420,31299741,3129974,99.1,511,5138.6
3080722810,3080723840,31299743,3129974,82.0,579,5159.1
3080722740,3080723840,31299742,3129974,928.7,1115,5159.2
3080722820,3080722810,31299745,3129974,1178.6,724,5164.4
3080722670,3080722810,31299744,3129974,413.9,712,5164.4
3080721590,3080722820,31299746,3129974,577.8,1240,5219.2
3080721580,3080722820,31299747,3129974,525.4,1166,5219.3
3080717420,3080721580,31299749,3129974,988.1,2392,5259.3
