HYBAS_ID_08,PFAF_ID_07,s_T300,s_T400,s_T500,s_T600,s_T700,s_T800,s_ELEVDEF,s_AREA50
2080522510,2279146,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080522380,2279146,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080515640,2276406,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080515540,2276406,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080514160,2279149,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080514380,2279149,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080514500,2279149,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream
2080514600,2279149,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080517140,2276406,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080517370,2276406,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080533470,2276250,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080521690,2278050,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream
2080521440,2278050,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080516100,2279149,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080516240,2279149,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream
2080585370,2274029,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080585400,2274029,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080532840,2276250,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080532580,2276250,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080516840,2279149,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080516960,2279149,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080521950,2278050,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080522110,2278050,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream
2080509940,2276404,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080510090,2276404,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080486470,2279160,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080586970,2274029,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080587060,2274029,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080531320,2276250,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080531440,2276250,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080511030,2276404,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080511140,2276404,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080486460,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080481530,2276604,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080485160,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080485020,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080588020,2274029,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080588070,2274029,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080484220,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080484140,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080529580,2276250,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080529470,2276250,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080528920,2276250,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080528820,2276250,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080475770,2276604,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080475760,2276604,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080479660,2279160,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080479440,2279160,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080590520,2274029,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080590530,2274029,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080479940,2279160,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080479670,2279160,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080473540,2276604,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080473620,2276604,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080483540,2279205,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080470320,2276604,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080470310,2276604,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080469080,2276804,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468610,2276604,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080468620,2276604,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080489610,2279402,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080489410,2279402,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080489600,2279402,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080516700,2278050,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080516570,2278050,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080466600,2276804,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080466590,2276804,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
