PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
3227680,9,857.4,elevation,high,0.503,False,False
3227690,9,770.9,elevation,high,0.538,False,False
3425603,9,136.2,topology_pfaf,low,0.325,False,False
3427100,9,128.0,topology_pfaf,low,0.409,False,False
3424510,9,93.1,topology_pfaf,low,0.71,False,False
3427401,9,171.7,topology_pfaf,low,0.483,False,False
3424911,9,160.2,topology_pfaf,low,0.374,False,False
3429350,9,353.9,topology_pfaf,mixed,0.691,False,False
3424890,9,163.2,topology_pfaf,low,0.594,False,False
3428610,9,141.6,topology_pfaf,low,0.756,False,False
3429506,9,847.1,elevation,high,0.553,False,False
3428920,9,296.9,topology_pfaf,low,0.613,False,False
3428970,9,155.8,topology_pfaf,low,0.409,False,False
3512441,9,77.5,topology_pfaf,low,0.579,False,False
3514923,9,363.6,topology_pfaf,mixed,0.627,False,False
3518229,9,354.0,topology_pfaf,mixed,0.674,False,False
3518291,9,293.8,topology_pfaf,low,0.365,False,False
3518971,9,304.9,topology_pfaf,mixed,0.457,False,False
3518976,9,168.0,topology_pfaf,low,0.358,False,False
3518978,9,163.7,topology_pfaf,low,0.507,False,False
3541477,9,339.0,topology_pfaf,mixed,0.485,False,False
3542460,9,663.3,elevation,high,0.532,False,False
3120149,9,29.7,topology_pfaf,low,0.488,False,False
3120455,7,42.5,topology_pfaf,low,0.284,False,False
3129031,9,68.7,topology_pfaf,low,0.608,False,False
4224964,9,250.6,topology_pfaf,low,0.688,False,False
4228706,9,181.7,topology_pfaf,low,0.722,False,False
4120011,9,158.3,topology_pfaf,low,0.206,True,False
4120012,9,408.9,topology_pfaf,mixed,0.72,False,False
4120013,9,208.2,topology_pfaf,low,0.27,True,False
4120014,9,375.2,topology_pfaf,mixed,0.66,False,False
4120015,9,248.1,topology_pfaf,low,0.359,True,False
4120018,9,489.3,topology_pfaf,mixed,0.424,False,False
4120019,9,430.8,topology_pfaf,mixed,0.449,True,False
4130139,9,321.0,topology_pfaf,mixed,0.238,True,False
4618070,9,1288.2,elevation,high,0.658,False,False
4618080,9,1303.5,elevation,high,0.47,False,False
7722160,9,848.9,elevation,high,0.69,False,False
7722180,9,1048.4,elevation,high,0.575,False,False
7722230,9,1092.2,elevation,high,0.447,False,False
7722223,9,566.1,topology_pfaf,mixed,0.643,False,False
7722229,9,875.1,elevation,high,0.549,False,False
7722270,9,250.5,topology_pfaf,low,0.687,False,False
7723470,8,772.9,elevation,high,0.695,False,False
7722800,9,733.8,elevation,high,0.591,False,False
7723429,9,953.4,elevation,high,0.595,False,False
7723800,9,387.6,topology_pfaf,mixed,0.658,False,False
7724020,10,375.3,topology_pfaf,mixed,0.599,False,False
7725002,10,529.6,topology_pfaf,mixed,0.192,False,False
7727002,9,902.7,elevation,high,0.637,False,False
7724070,10,257.2,topology_pfaf,low,0.475,False,False
7727008,9,892.3,elevation,high,0.453,False,False
7724090,9,426.9,topology_pfaf,mixed,0.223,False,False
7724082,9,725.1,elevation,high,0.415,False,False
7729102,9,874.4,elevation,high,0.713,False,False
7728030,9,295.7,topology_pfaf,low,0.696,False,False
7726060,9,1501.3,elevation,high,0.644,False,False
7729104,9,812.8,elevation,high,0.686,False,False
7728024,9,908.4,elevation,high,0.479,False,False
7728050,9,749.4,elevation,high,0.705,False,False
7728041,9,556.6,topology_pfaf,mixed,0.517,False,False
7728042,9,1135.7,elevation,high,0.731,False,False
7729500,9,812.0,elevation,high,0.494,False,False
7728045,9,727.6,elevation,high,0.717,False,False
7728060,9,754.4,elevation,high,0.558,False,False
7728090,9,436.9,topology_pfaf,mixed,0.263,False,False
7729209,9,925.1,elevation,high,0.569,False,False
7729603,9,252.0,topology_pfaf,low,0.653,False,False
7729602,9,399.6,topology_pfaf,mixed,0.583,False,False
7729808,9,451.9,topology_pfaf,mixed,0.459,False,False
7729904,9,245.5,topology_pfaf,low,0.766,False,False
7729905,9,367.1,topology_pfaf,mixed,0.571,False,False
7729908,9,642.3,elevation,high,0.56,False,False
7729909,9,712.2,elevation,high,0.786,False,False
7741600,9,505.0,topology_pfaf,mixed,0.502,False,False
7744220,9,1509.0,elevation,high,0.49,False,False
7744230,9,1072.9,elevation,high,0.706,False,False
7744400,9,1641.8,elevation,high,0.89,False,False
7744240,9,2357.4,elevation,high,0.481,False,False
7744260,9,2167.2,elevation,high,0.54,False,False
7744604,9,1054.0,elevation,high,0.54,False,False
7744280,9,2728.5,elevation,high,0.635,False,False
7744930,9,1045.5,elevation,high,0.692,False,False
