PFAF_ID_07,n_children,delta_E_m,relief_class,n_outlets,parent_components,has_cycle,axis_T300,f_up_area_T300,valid_T300,invalid_reason_T300,n_up_T300,n_down_T300,up_components_T300,down_components_T300,cut_edges_T300,reverse_edges_T300,axis_T400,f_up_area_T400,valid_T400,invalid_reason_T400,n_up_T400,n_down_T400,up_components_T400,down_components_T400,cut_edges_T400,reverse_edges_T400,axis_T500,f_up_area_T500,valid_T500,invalid_reason_T500,n_up_T500,n_down_T500,up_components_T500,down_components_T500,cut_edges_T500,reverse_edges_T500,axis_T600,f_up_area_T600,valid_T600,invalid_reason_T600,n_up_T600,n_down_T600,up_components_T600,down_components_T600,cut_edges_T600,reverse_edges_T600,axis_T700,f_up_area_T700,valid_T700,invalid_reason_T700,n_up_T700,n_down_T700,up_components_T700,down_components_T700,cut_edges_T700,reverse_edges_T700,axis_T800,f_up_area_T800,valid_T800,invalid_reason_T800,n_up_T800,n_down_T800,up_components_T800,down_components_T800,cut_edges_T800,reverse_edges_T800,axis_ELEVDEF,f_up_area_ELEVDEF,valid_ELEVDEF,invalid_reason_ELEVDEF,n_up_ELEVDEF,n_down_ELEVDEF,up_components_ELEVDEF,down_components_ELEVDEF,cut_edges_ELEVDEF,reverse_edges_ELEVDEF,axis_AREA50,f_up_area_AREA50,valid_AREA50,invalid_reason_AREA50,n_up_AREA50,n_down_AREA50,up_components_AREA50,down_components_AREA50,cut_edges_AREA50,reverse_edges_AREA50,common_valid_T300_T800,n_cells_changed_any_threshold,all_cell_labels_invariant,status_T600,review_priority,review_class
7737030,4,414.7,mixed,4,4,False,elevation,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,elevation,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,elevdef,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,area50,0.415,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,False,0,True,invalid_multi_outlet,0,T600_invalid
7738167,9,658.3,high,1,1,False,elevation,0.645,True,OK,5,4,1,1,1,0,elevation,0.645,True,OK,5,4,1,1,1,0,elevation,0.645,True,OK,5,4,1,1,1,0,elevation,0.645,True,OK,5,4,1,1,1,0,topology_pfaf,0.645,True,OK,5,4,1,1,1,0,topology_pfaf,0.645,True,OK,5,4,1,1,1,0,elevdef,0.645,True,OK,5,4,1,1,1,0,area50,0.477,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
7738168,9,531.8,mixed,1,1,False,elevation,0.627,True,OK,1,8,1,1,1,0,elevation,0.627,True,OK,1,8,1,1,1,0,elevation,0.627,True,OK,1,8,1,1,1,0,topology_pfaf,0.627,True,OK,1,8,1,1,1,0,topology_pfaf,0.627,True,OK,1,8,1,1,1,0,topology_pfaf,0.627,True,OK,1,8,1,1,1,0,elevdef,0.627,True,OK,1,8,1,1,1,0,area50,0.627,True,OK,1,8,1,1,1,0,True,0,True,valid_T600,3,stable
7738180,9,852.4,high,1,1,False,elevation,0.562,True,OK,5,4,1,1,1,0,elevation,0.562,True,OK,5,4,1,1,1,0,elevation,0.562,True,OK,5,4,1,1,1,0,elevation,0.562,True,OK,5,4,1,1,1,0,elevation,0.562,True,OK,5,4,1,1,1,0,elevation,0.562,True,OK,5,4,1,1,1,0,elevdef,0.562,True,OK,5,4,1,1,1,0,area50,0.562,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7738199,9,366.1,mixed,1,1,False,elevation,0.571,True,OK,3,6,1,1,1,0,topology_pfaf,0.737,True,OK,5,4,1,1,1,0,topology_pfaf,0.737,True,OK,5,4,1,1,1,0,topology_pfaf,0.737,True,OK,5,4,1,1,1,0,topology_pfaf,0.737,True,OK,5,4,1,1,1,0,topology_pfaf,0.737,True,OK,5,4,1,1,1,0,elevdef,0.571,True,OK,3,6,1,1,1,0,area50,0.571,True,OK,3,6,1,1,1,0,True,2,False,valid_T600,2,label_change
7738320,9,594.3,mixed,1,1,False,elevation,0.497,True,OK,5,4,1,1,1,0,elevation,0.497,True,OK,5,4,1,1,1,0,elevation,0.497,True,OK,5,4,1,1,1,0,topology_pfaf,0.497,True,OK,5,4,1,1,1,0,topology_pfaf,0.497,True,OK,5,4,1,1,1,0,topology_pfaf,0.497,True,OK,5,4,1,1,1,0,elevdef,0.497,True,OK,5,4,1,1,1,0,area50,0.497,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7738379,9,441.2,mixed,1,1,False,elevation,0.471,True,OK,3,6,1,1,1,0,elevation,0.471,True,OK,3,6,1,1,1,0,topology_pfaf,0.471,True,OK,3,6,1,1,1,0,topology_pfaf,0.471,True,OK,3,6,1,1,1,0,topology_pfaf,0.471,True,OK,3,6,1,1,1,0,topology_pfaf,0.471,True,OK,3,6,1,1,1,0,elevdef,0.471,True,OK,3,6,1,1,1,0,area50,0.471,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
7738380,7,268.5,low,1,1,False,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,topology_pfaf,0.494,True,OK,3,4,1,1,1,0,elevdef,0.633,True,OK,5,2,1,1,1,0,area50,0.494,True,OK,3,4,1,1,1,0,True,0,True,valid_T600,3,stable
7738390,9,405.4,mixed,1,1,False,elevation,0.675,True,OK,7,2,1,1,1,0,elevation,0.675,True,OK,7,2,1,1,1,0,topology_pfaf,0.168,True,OK,3,6,1,1,1,0,topology_pfaf,0.168,True,OK,3,6,1,1,1,0,topology_pfaf,0.168,True,OK,3,6,1,1,1,0,topology_pfaf,0.168,True,OK,3,6,1,1,1,0,elevdef,0.675,True,OK,7,2,1,1,1,0,area50,0.46,True,OK,5,4,1,1,1,0,True,4,False,valid_T600,2,label_change
7741600,9,505.0,mixed,1,1,False,elevation,0.502,True,OK,1,8,1,1,1,0,elevation,0.502,True,OK,1,8,1,1,1,0,elevation,0.502,True,OK,1,8,1,1,1,0,topology_pfaf,0.502,True,OK,1,8,1,1,1,0,topology_pfaf,0.502,True,OK,1,8,1,1,1,0,topology_pfaf,0.502,True,OK,1,8,1,1,1,0,elevdef,0.502,True,OK,1,8,1,1,1,0,area50,0.502,True,OK,1,8,1,1,1,0,True,0,True,valid_T600,3,stable
7744014,9,1040.7,high,1,1,False,elevation,0.666,True,OK,7,2,1,1,1,0,elevation,0.666,True,OK,7,2,1,1,1,0,elevation,0.666,True,OK,7,2,1,1,1,0,elevation,0.666,True,OK,7,2,1,1,1,0,elevation,0.666,True,OK,7,2,1,1,1,0,elevation,0.666,True,OK,7,2,1,1,1,0,elevdef,0.666,True,OK,7,2,1,1,1,0,area50,0.474,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7744019,9,1489.9,high,1,1,False,elevation,0.501,True,OK,7,2,1,1,1,0,elevation,0.501,True,OK,7,2,1,1,1,0,elevation,0.501,True,OK,7,2,1,1,1,0,elevation,0.501,True,OK,7,2,1,1,1,0,elevation,0.501,True,OK,7,2,1,1,1,0,elevation,0.501,True,OK,7,2,1,1,1,0,elevdef,0.501,True,OK,7,2,1,1,1,0,area50,0.501,True,OK,7,2,1,1,1,0,True,0,True,valid_T600,3,stable
